id_venta,cliente_id,producto,categoria,cantidad,precio_unitario,descuento_pct,fecha_venta,canal,region,vendedor,moneda,estado_pago,codigo_postal,observaciones,email_cliente,rut_cliente
77,1003,Botines,Calzado,,25990,5,27/01/2026,Marketplace,valparaíso,LUIS,USD,PENDIENTE,1100000,Entrega urgente,test@test,9.876.543-k
78,1009,Camiseta,Ropa,5,14990,5,05/12/2025,web,BIOBIO,LUIS,,Rechazado,8320000,sin stock parcial,test@test,12.345.678-5
79,,Camiseta,Ropa,03,-5000,5,01-17-2026,tienda física,BIOBIO,ana,EUR,Pendiente,,Entrega urgente,  pedro@empresa.cl ,
80,,Botella térmica,Accesorios,1,4990,,,web,,,CLP,pagado,7600000,sin stock parcial,luis@mail.com,9.876.543-k
81,001010,Mancuerna 10kg,Fitness,,0,-5,12-31-2025,Marketplace,,María,EUR,,8320000,cliente frecuente,  pedro@empresa.cl ,11111111-1
82,1008,Bicicleta,Outdoor,4,,10%,08-21-2025,,Metropolitana,Maria,EUR,Rechazado,,,,9.876.543-k
83,1002,Botella térmica,Accesorios,2,9990,5,,,BIOBIO,Luis,,Pagado,,,luis@mail.com,22.222.222-2
84,,Colchoneta,fitness,03,4990,20,2025/11/04 09:00:00,web,,LUIS,clp,, 8320000 ,cliente frecuente,,
85,1005,Guantes arquero,deportes,,25990,,2025-13-01,,,Ana,,rechazado,8320000,sin stock parcial,test@test,
86,1006,Colchoneta,fitness,1,14990,10,10-17-2025,web,Valparaiso,Ana,CLP,Pendiente,abc123,Llamar antes de entregar,maria.gomez@gmail.com,
87,1006,Camiseta,Ropa,5,19990 ,105,2025-11-02,WEB,Valparaiso,Ana,,pagado,7600000,N/A,,XX.XXX.XXX-X
88,1008,Pelota tenis,Deportes,03,12.990,15,2026-01-22,Tienda,Araucanía,ana,USD,,,,ana@example.com,11111111-1
10,001010,Bicicleta,Outdoor,1,4990,15,,WEB,Biobío,María,USD,pagado,8320000,N/A,,9.876.543-k
90,1007,Camiseta,Ropa,-1,25990,-5,,Tienda,Metropolitana,,,Pagado,abc123,Entrega urgente,maria.gomez@gmail.com,12345678-5
91,001010,Colchoneta,fitness,03,0,,12-30-2025,Tienda,Metropolitana,,CLP,Rechazado, 8320000 ,N/A,,12345678-5
92,1002,Bicicleta,Outdoor,4,,105,2025-07-25,tienda física,Biobío,Maria,clp,Rechazado,1100000,sin stock parcial,luis@mail.com,12345678-5
93,1009,Calcetas deportivas,ROPA,4,19990 ,10%,,WEB,valparaíso,ana,clp,rechazado, 8320000 ,sin stock parcial,cliente@correo.cl,12345678-5
94,,Camiseta,Ropa,0,,105,01-25-2026,,BIOBIO,Maria,clp,,8320000,N/A,maria.gomez@gmail.com,
95,001010,Mancuerna 10kg,Fitness,1,19990 ,-5,02-07-2025,tienda física,RM,Ana,USD,rechazado,8320000,cliente frecuente,  pedro@empresa.cl ,22.222.222-2
96,001010,Botella térmica,Accesorios,-1,4990,,,WEB,BIOBIO,,,PENDIENTE,8320000,N/A,luis@mail.com,
97,1009,Guantes arquero,deportes,,14990,0,05-07-2025,tienda física,,Luis,USD,Rechazado,7600000,Llamar antes de entregar,,
98,1001,Pelota tenis,Deportes,,19990 ,5,2025-13-01,,Araucanía,María,USD,PENDIENTE,7600000,cliente frecuente,cliente@correo.cl,
99,,Mancuerna 10kg,Fitness,,,10,2025-11-01,Tienda,,,,Rechazado,1100000,sin stock parcial,  pedro@empresa.cl ,12345678-5
100,1009,Bicicleta,Outdoor,2,4990,10%,08/06/2025,Tienda,,LUIS,clp,PENDIENTE, 8320000 ,cliente frecuente,test@test,12345678-5
101,1009,Calcetas deportivas,ROPA,-1,4990,10%,28/01/2026,Marketplace,Araucanía,Luis,clp,PENDIENTE,1100000,sin stock parcial,maria.gomez@gmail.com,12.345.678-5
102,1006,Bicicleta,Outdoor,,25990,,,,,LUIS,,Pendiente,7600000,N/A,SIN_EMAIL,
103,1008,Pelota tenis,Deportes,0,12.990,,09-15-2025,WEB,valparaíso,Luis,USD,Pagado,,N/A,,12345678-5
104,1002,Calcetas deportivas,ROPA,5,9990,10,2025-13-01,WEB,Araucanía,ana,clp,,7600000,Entrega urgente,,12.345.678-5
105,1009,Bicicleta,Outdoor,2,25990,,11/02/2025,web,BIOBIO,ana,,Rechazado,1100000,sin stock parcial,cliente@correo.cl,12.345.678-5
106,1008,Mancuerna 10kg,Fitness,3,,,2025-11-12,web,Biobío,LUIS,clp,,8320000,,SIN_EMAIL,
107,1001,Guantes arquero,deportes,4,,105,2025-08-23,,,Ana,,Pendiente,,sin stock parcial,test@test,22.222.222-2
108,001010,Balón fútbol,Deportes,2,25990,105,,,Metropolitana,Maria,CLP,Pagado,abc123,N/A,ana@example.com,22.222.222-2
109,1005,Colchoneta,fitness,1,19990 ,5,,,Metropolitana,Maria,clp,Pagado,7600000,,cliente@correo.cl,XX.XXX.XXX-X
110,,Botella térmica,Accesorios,3,14990,5,2026-01-02,Tienda,valparaíso,Ana,clp,Pagado,7600000,,  pedro@empresa.cl ,22.222.222-2
111,1008,Calcetas deportivas,ROPA,5,4990,15,,,RM,Maria,USD,pagado,1100000,,,22.222.222-2
112,1007,Botella térmica,Accesorios,2,14990,,2025/12/21 15:00:00,,,María,CLP,,8320000,Llamar antes de entregar,cliente@correo.cl,
113,1002,Colchoneta,fitness,2,19990 ,20,2025-13-01,,Araucanía,Luis,,,7600000,N/A,ana@example.com,
114,1007,Pelota tenis,Deportes,5,4990,5,12-10-2025,Tienda,,Luis,CLP,PENDIENTE,1100000,N/A,ana@example.com,9.876.543-k
115,1004,Guantes arquero,deportes,,19990 ,10%,2025-07-16,Marketplace,Valparaiso,,USD,Rechazado,abc123,cliente frecuente,cliente@correo.cl,
116,1006,Bicicleta,Outdoor,,12.990,15,,WEB,,,,pagado,7600000,,maria.gomez@gmail.com,11111111-1
117,1005,Pelota tenis,Deportes,0,25990,5,03-11-2025,WEB,,ana,,Rechazado,,,luis@mail.com,
118,1003,Mancuerna 10kg,Fitness,,14990,10%,2025-09-18,WEB,Valparaiso,LUIS,EUR,Pagado,7600000,,maria.gomez@gmail.com,9.876.543-k
119,1002,Pelota tenis,Deportes,2,12.990,,01-03-2026,Marketplace,Araucanía,,,pagado, 8320000 ,,luis@mail.com,XX.XXX.XXX-X
120,,Botella térmica,Accesorios,-1,19990 ,10,,Marketplace,Valparaiso,Luis,EUR,Pagado,1100000,cliente frecuente,  pedro@empresa.cl ,9.876.543-k
6,1008,Camiseta,Ropa,03,12.990,-5,2025/04/23 21:00:00,,RM,LUIS,CLP,Rechazado,abc123,,luis@mail.com,11111111-1
121,1004,Guantes arquero,deportes,2,12.990,10,2025/02/30 10:00:00,Tienda,,Ana,,rechazado,,cliente frecuente,cliente@correo.cl,
